,Fermented Food,Location,Description,Microbial Profile,Associated Scents,Emotional Landscape
255,Sauerkraut Juice,Kraut Juice Corner,A health-focused juice bar where sauerkraut juice is a probiotic specialty.,Lactic acid bacteria.,"Tangy, salty.","Invigorating, sour."
256,Suan cai (Pickled Chinese Cabbage),Suan Cai Spot,"A Chinese restaurant with a focus on suan cai, fermented Chinese cabbage.",Lactic acid bacteria.,"Sour, spicy.","Comforting, tangy."
257,Viili (Fermented Milk),Viili Villa,"A Finnish health-food store featuring viili, a traditional fermented milk.",Lactic acid bacteria.,"Milky, slightly sweet.","Cozy, probiotic-rich."
258,Water Kefir,Montreal,"A boutique selling a variety of water kefir, a lightly fermented probiotic drink.","Lactic acid bacteria, yeasts.","Fruity, effervescent.","Refreshing, bubbly."
259,Lacto-fermented Radish,Radish Ranch,An organic food shop with an array of lacto-fermented radishes.,Lactic acid bacteria.,"Peppery, tangy.","Crunchy, peppery."
260,Sourdough Pancakes,Sourdough Sanctuary,A breakfast café where sourdough pancakes with a twist are the star.,"Wild yeast, lactic acid bacteria.","Buttery, tangy.","Comforting, hearty."
261,Achar,Achar Avenue,"A South Asian shop that specializes in achar, spicy pickled fruits and vegetables.","Lactic acid bacteria, yeast.","Spicy, savory.","Invigorating, homey."
262,Bagoong,Bagoong Bay,"A Filipino restaurant known for bagoong, a pungent fermented shrimp paste.",Halophilic bacteria.,"Fishy, salty.","Bold, umami."
263,Choujiu,Choujiu Corner,"A Chinese tavern that serves choujiu, a milky fermented rice wine.","Yeast, mold.","Sweet, alcoholic.","Joyful, celebratory."
264,Dosa Batter,Dosa Delights,An Indian diner where dosa batter ferments to perfection for crisp dosas.,"Lactic acid bacteria, wild yeast.","Sour, savory.","Comforting, satisfying."
265,Garri,Garri Garden,"A West African grocery store offering garri, fermented cassava flakes.",Lactic acid bacteria.,"Sour, starchy.","Earthy, filling."
266,Iru (Locust Beans),Iru Inn,"A Nigerian bistro with a focus on iru, fermented locust beans used in cooking.",Bacillus subtilis.,"Smoky, spicy.","Hearty, traditional."
267,Koji (Rice Mold),Koji Kitchen,A Japanese shop where koji mold is used to ferment rice for various applications.,Aspergillus oryzae.,"Sweet, moldy.","Cultured, artisanal."
268,Lassi,Lassi Landing,An Indian yogurt-based beverage parlor that offers a variety of fermented lassis.,Lactic acid bacteria.,"Creamy, fruity.","Refreshing, cooling."
269,Makkoli,Makkoli Market,"A Korean establishment that serves makkoli, a cloudy, fermented rice drink.","Yeast, lactic acid bacteria.","Sweet, yeasty.","Sociable, light-hearted."
270,Nata de Coco,Nata Nook,"A dessert cafe that features nata de coco, a jelly-like food produced by fermentation.",Acetobacter aceti.,"Sweet, vinegary.","Quirky, fun."
271,Ouzo Mash,Ouzo Oasis,A Greek distillery where ouzo mash is fermented before distillation.,Yeasts.,"Anise, herbal.","Spirited, celebratory."
272,Poi,Poi Place,"A Hawaiian eatery specializing in poi, a traditional fermented taro paste.",Lactic acid bacteria.,"Sour, starchy.","Traditional, nutritious."
273,Quark,Quark Quarter,"A European dairy shop selling quark, a type of fresh, fermented cheese.",Lactic acid bacteria.,"Milky, tangy.","Fresh, light."
274,Rejuvelac,Rejuvelac Retreat,"A wellness center where rejuvelac, a fermented grain drink, is touted for health.",Lactobacillus.,"Tart, citrusy.","Health-conscious, invigorating."
275,Salami,Milan,"An Italian deli that features a variety of aged, fermented salami.","Lactic acid bacteria, molds.","Meaty, tangy.","Indulgent, savory."
276,Tepache,Tepache Tavern,"A Mexican bar where tepache, a fermented pineapple beverage, is the house special.","Wild yeast, bacteria.","Fruity, tangy.","Festive, refreshing."
277,Uji (Fermented Porridge),Uji Umbrella,"An East African stall selling uji, a fermented sorghum porridge.",Lactic acid bacteria.,"Sour, grainy.","Hearty, traditional."
278,Vișinată (Sour Cherry Liqueur),Vișinată Village,"A European bar that specializes in vișinată, a fermented sour cherry liqueur.",Yeasts.,"Fruity, sweet.","Warm, nostalgic."
279,Wara (Fermented Tofu),Wara Workshop,"A West African food market that showcases wara, a fermented tofu-like cheese.",Lactic acid bacteria.,"Nutty, cheesy.","Exotic, earthy."
280,Xoconostle (Sour Cactus Fruit),Xoconostle Xchange,"A Mexican marketplace that offers xoconostle, a fermented sour cactus fruit.",Natural bacteria and yeasts.,"Tart, fruity.","Vibrant, tangy."
281,Yogurt Cheese,Yogurt Yurts,A Mediterranean food shop where yogurt cheese is made through fermentation.,Lactic acid bacteria.,"Creamy, sour.","Comforting, versatile."
282,Zabadi (Egyptian Yogurt),Zabadi Zone,"An Egyptian cafe that serves zabadi, a type of fermented yogurt.",Lactic acid bacteria.,"Cool, creamy.","Refreshing, soothing."
283,Ajvar (Roasted Peppers),Ajvar Emporium,A Balkan grocery store where ajvar is prepared with a unique fermentation twist.,Lactic acid bacteria.,"Smoky, tangy.","Warm, homey."
284,Boza (Fermented Millet),Boza Bazaar,"A Turkish drink stand that offers boza, a thick fermented millet beverage.","Lactic acid bacteria, yeasts.","Sweet, sour.","Comforting, filling."
285,Cider (Hard),Cider Cellar,A rustic cidery where apples ferment into hard cider.,"Natural yeasts, lactic acid bacteria.","Fruity, alcoholic.","Celebratory, crisp."
286,Doenjang (Bean Paste),Doenjang Den,"A Korean pantry that focuses on doenjang, a rich, fermented soybean paste.","Bacteria, molds.","Savory, umami.","Rich, cultural."
287,Egusi (Melon Seed Ferment),Egusi Eatery,A West African restaurant where egusi seeds are fermented for traditional dishes.,"Molds, yeasts.","Nutty, earthy.","Traditional, hearty."
288,Filbunke (Sour Milk),Filbunke Forum,"A Swedish dairy that offers filbunke, a traditional sour milk product.",Lactic acid bacteria.,"Sour, creamy.","Comforting, traditional."
289,Giardiniera (Pickled Vegetables),Giardiniera Grove,"An Italian deli that showcases giardiniera, pickled vegetables with a tangy bite.",Lactic acid bacteria.,"Tangy, spicy.","Zesty, appetizing."
290,Hákarl (Fermented Shark),Hákarl Haven,"An Icelandic specialty shop famous for hákarl, a notoriously fermented shark dish.",Putrefactive bacteria.,"Fishy, ammonia.","Adventurous, intense."
291,Horseradish Sauce,Horseradish Hub,"A boutique condiment store specializing in spicy, fermented horseradish sauces.",Lactic acid bacteria.,"Spicy, pungent.","Bold, invigorating."
292,Kimchi Stew,Kimchi Kettle,"A Korean restaurant where the kimchi stew simmers with aged, fermented kimchi.","Lactic acid bacteria, yeasts.","Spicy, sour.","Comforting, warm."
293,Labneh,Labneh Lounge,"A Middle Eastern café offering creamy labneh, a strained fermented yogurt cheese.",Lactic acid bacteria.,"Creamy, tangy.","Refreshing, wholesome."
294,Miso Soup,Miso Marketplace,A Japanese soup bar featuring a variety of miso soups with fermented soybean paste.,"Aspergillus oryzae, yeasts.","Savory, umami.","Soothing, nourishing."
295,Nattō on Rice,Nattō Niche,A Japanese diner that serves the traditional breakfast of nattō over rice.,Bacillus subtilis natto.,"Pungent, earthy.","Hearty, energizing."
296,Olives in Brine,Olive Oasis,A Mediterranean grove where olives are cured and fermented in brine.,Lactic acid bacteria.,"Salty, vinegary.","Earthy, rustic."
297,Pumpernickel Bread,Pumpernickel Pantry,"A German bakery known for its dense, slightly fermented pumpernickel bread.","Wild yeasts, lactic acid bacteria.","Earthy, sour.","Fulfilling, traditional."
298,Quinoa Rejuvelac,Quinoa Quarters,A health food store where rejuvelac is brewed using fermented quinoa.,Lactobacillus.,"Tart, lemony.","Refreshing, healthful."
299,Root Beer,Philadelphia,A craft soda shop where traditional root beer is fermented with sassafras root.,"Wild yeast, bacteria.","Sweet, herbal.","Nostalgic, bubbly."
300,Sourdough Creations,Sourdough Studio,An artisanal bakery that crafts unique breads with their signature sourdough starter.,"Wild yeast, lactic acid bacteria.","Tangy, yeasty.","Artisanal, comforting."
